director_id,director_name
1,Alexander Black
2,Charles Tait
3,Urban Gad
4,Charles L. Gaskill
5,Francesco Bertolini
6,Adolfo Padovan
7,Sidney Olcott
8,Ernst Lubitsch
9,Enrico Guazzoni
10,Aristide Demetriade
11,Grigore Brezeanu
12,André Calmettes
13,James Keane
14,August Blom
15,Louis Feuillade
16,Victor Sjöström
17,Mario Caserini
18,Alfred Machin
19,D.W. Griffith
20,Paul Wegener
21,Stellan Rye
22,George Loane Tucker
23,Eleuterio Rodolfi
24,Francesca Bertini
25,Gustavo Serena
26,Reginald Barker
27,Giovanni Pastrone
28,James Kirkwood
29,Léonce Perret
30,Sidney Drew
31,Henrik Galeen
32,Benjamin Christensen
33,J. Farrell MacDonald
34,Lois Weber
35,Edward S. Curtis
36,Louis J. Gasnier
37,Donald MacKenzie
38,Oscar Apfel
39,Cecil B. DeMille
40,Edwin S. Porter
41,Mack Sennett
42,Charles Bennett
43,Michael Curtiz
44,William Robert Daly
45,Maurice Tourneur
46,W.W. Young
47,Thomas H. Ince
48,Frank Powell
49,Luigi Romano Borgnetto
50,Vincenzo Denizot
51,Christy Cabanne
52,Edgar Lewis
53,Yevgeny Bauer
54,Nino Oxilia
55,Raoul Walsh
56,George Melford
57,Stuart Paton
58,Chester M. Franklin
59,Sidney Franklin
60,Chester Withey
61,Allan Dwan
62,Charles Swickard
63,William S. Hart
64,John Emerson
65,Lloyd Ingraham
66,Paul Powell
67,Yakov Protazanov
68,Arthur Berthelet
69,J. Searle Dawley
70,Mauritz Stiller
71,Phillips Smalley
72,Ruth Ann Baldwin
73,John Ford
74,J. Gordon Edwards
75,Robert Wiene
76,Holger-Madsen
77,Joseph Levering
78,Marshall Neilan
79,Abel Gance
80,Alexandre Volkoff
81,George Irving
82,Frank Lloyd
83,Harry Davenport
84,William Desmond Taylor
85,Alexander Korda
86,Ida May Park
87,Joseph Maxwell
88,F. Richard Jones
89,James Young
90,Walter Edwards
91,Albert Parker
92,Charles Chaplin
93,Scott Sidney
94,Alan Crosland
95,Richard Oswald
96,Enrique Rosas
97,David Hartford
98,Irvin Willat
99,Erich von Stroheim
100,Jerome Storm
101,Robert Z. Leonard
102,Fritz Lang
103,James Cruze
104,Joseph De Grasse
105,Otto Rippert
106,Carl Theodor Dreyer
107,Raymond Longford
108,Lambert Hillyer
109,Victor Fleming
110,Tod Browning
111,Hans Werckmeister
112,Jacques Feyder
113,John S. Robertson
114,Rasmus Breistein
115,F.W. Murnau
116,Carl Boese
117,Lawrence C. Windom
118,André Antoine
119,Marcel L'Herbier
120,Frank Borzage
121,King Vidor
122,Franz Osten
123,Clarence Brown
124,David Kirkland
125,Fred Niblo
126,Gunnar Sommerfeldt
127,Leon D'Usseau
128,Herbert Blaché
129,Winchell Smith
130,John Francis Dillon
131,Karl Heinz Martin
132,Oscar Micheaux
133,Wallace Worsley
134,Robert F. Hill
135,Max Linder
136,George D. Baker
137,Ray C. Smallwood
138,Rex Ingram
139,Maurice Campbell
140,Robert G. Vignola
141,Svend Gade
142,Heinz Schall
143,Leopold Jessner
144,Paul Leni
145,Joe May
146,Roscoe 'Fatty' Arbuckle
147,Alfred E. Green
148,Jack Pickford
149,Frances Marion
150,William C. de Mille
151,Albert Austin
152,Victor Heerman
153,Theodore Reed
154,Minoru Murata
155,Fred C. Newmeyer
156,Dimitri Buchowetzki
157,Lupu Pick
158,Henry King
159,Sam Wood
160,Dorothy Arzner
161,George Terwilliger
162,Sam Taylor
163,Elmer Clifton
164,Louis Delluc
165,Irving Cummings
166,Edward D. Venturini
167,Burton L. King
168,Rupert Julian
169,Emmett J. Flynn
170,Manfred Noa
171,Charles Bryant
172,Alla Nazimova
173,Arthur Robison
174,Tom Forman
175,Lynn Reynolds
176,Robert Thornby
177,Harry B. Parkinson
178,Phil Rosen
179,Ewald André Dupont
180,Jean Epstein
181,Harry Houdini
182,John G. Blystone
183,Buster Keaton
184,Georg Wilhelm Pabst
185,Rupert Hughes
186,Karl Grune
187,Edward F. Cline
188,Leo Birinsky
189,Harry Beaumont
190,Lewis H. Moomaw
191,Henry Otto
192,Mary Pickford
193,William A. Seiter
194,Jean Renoir
195,E. Mason Hopper
196,Donald Crisp
197,Lev Kuleshov
198,Paul Bern
199,Yuri Zhelyabuzhsky
200,René Clair
201,Herbert Brenon
202,Sergei M. Eisenstein
203,Graham Cutts
204,Lotte Reiniger
205,Carl Koch
206,George W. Hill
207,Alan Hale
208,Noel M. Smith
209,Joseph Henabery
210,Kenji Mizoguchi
211,Pedro Sienna
212,Monta Bell
213,William Beaudine
214,David Butler
215,Harry O. Hoyt
216,Roland West
217,Buntarô Futagawa
218,Clarence G. Badger
219,Lon Chaney
220,Wesley Ruggles
221,Alfred Hitchcock
222,Julien Duvivier
223,Himanshu Rai
224,Walter Lang
225,Dorothy Davenport
226,Edmund Goulding
227,Josef von Sternberg
228,Leander De Cordova
229,G.B. Samuelson
230,H.K. Breslauer
231,King Baggot
232,George B. Seitz
233,Larry Semon
234,George Chesebro
235,Bruce Mitchell
236,Malcolm St. Clair
237,Arthur von Gerlach
238,Charles Reisner
239,William A. Wellman
240,Jack Conway
241,Paul Sloane
242,Howard Hawks
243,Richard Rosson
244,Lewis Milestone
245,Lewis Seiler
246,Arnold Fanck
247,Harry Edwards
248,A. Edward Sutherland
249,Frank Tuttle
250,Teinosuke Kinugasa
251,Guido Brignone
252,Vsevolod Pudovkin
253,Boris Barnet
254,Fyodor Otsep
255,Dallas M. Fitzgerald
256,Amo Bek-Nazaryan
257,Herbert Wilcox
258,Millard Webb
259,Grigoriy Kozintsev
260,Leonid Trauberg
261,Gregory La Cava
262,George Fitzmaurice
263,Tom McNamara
264,Frank Capra
265,Edward Sedgwick
266,Frank Urson
267,Ivan Pravov
268,Olga Preobrazhenskaya
269,Rowland V. Lee
270,Gustav Ucicky
271,James W. Horne
272,Roy Del Ruth
273,Clyde Bruckman
274,Aleksandr Medvedkin
275,Maurice Elvey
276,Raymond Bernard
277,Ted Wilde
278,Harold Lloyd
279,Mikhail Doller
280,John Gilbert
281,William Nigh
282,Grigoriy Aleksandrov
283,Alfred Santell
284,Sergey Komarov
285,Frank Peregini
286,William K. Howard
287,Anthony Asquith
288,A.V. Bramble
289,John M. Stahl
290,Aleksandr Dovzhenko
291,J.P. McGowan
292,Harry Langdon
293,Hobart Henley
294,Abram Room
295,Harry A. Pollard
296,Arthur Rosson
297,Harry d'Abbadie d'Arrast
298,W.S. Van Dyke
299,Curtis Bernhardt
300,Minwei Li
301,Hou Yao
302,Nikoloz Shengelaia
303,Merian C. Cooper
304,Lothar Mendes
305,William Dieterle
306,Bryan Foy
307,Pál Fejös
308,Jean Grémillon
309,Lucien Hubbard
310,Lloyd Bacon
311,Roy William Neill
312,Robert J. Flaherty
313,Florián Rey
314,Rouben Mamoulian
315,Mervyn LeRoy
316,Alberto Cavalcanti
317,Henry Wulschleger
318,Robert Florey
319,Joseph Santley
320,Yasujirô Ozu
321,John Cromwell
322,Gustav Machatý
323,Edwin Carewe
324,Castleton Knight
325,Paul Czinner
326,Edgar Selwyn
327,Ilya Trauberg
328,William J. Cowen
329,William Wyler
330,Paul L. Stein
331,Howard Higgin
332,Robert Land
333,George Schnéevoigt
334,Jean de Limur
335,Lionel Barrymore
336,Robert Siodmak
337,Edgar G. Ulmer
338,Erle C. Kenton
339,Henri Fescourt
340,Phil Jutzi
341,Darryl F. Zanuck
342,Fridrikh Ermler
343,Richard Boleslawski
344,Victor Schertzinger
345,Luther Reed
346,Mario Camerini
347,Arch Heath
348,John G. Adolfi
349,H.P. Carver
350,Walter Jerven
351,Bayard Veiller
352,Léon Poirier
353,Hanns Schwarz
354,Thornton Freeland
355,Ward Wing
356,Louis R. Loeffler
357,David Burton
358,Nick Grinde
359,Kenneth MacPherson
360,Charles Brabin
361,Al Christie
362,Melville W. Brown
363,Archie Mayo
364,Wilhelm Thiele
365,André Charlot
366,Jack Hulbert
367,Leslie Pearce
368,Lloyd Corrigan
369,Laurence Schwab
370,George Archainbaud
371,Ray Enright
372,Benjamin Stoloff
373,Howard Hughes
374,Tay Garnett
375,Edward H. Griffith
376,Roy Pomeroy
377,James Whale
378,John Murray Anderson
379,Walter Lantz
