writer_id,writer_name
1,Alexander Black
2,Charles Tait
3,Urban Gad
4,Gebhard Schätzler-Perasini
5,Victorien Sardou
6,Dante Alighieri
7,Gene Gauntier
8,Norbert Falk
9,Hanns Kräly
10,Henryk Sienkiewicz
11,Enrico Guazzoni
12,Aristide Demetriade
13,Petre Liciu
14,James Keane
15,William Shakespeare
16,Axel Garde
17,Gerhart Hauptmann
18,Marcel Allain
19,Louis Feuillade
20,Nils Krok
21,Emiliano Bonetti
22,G. Monleone
23,Alfred Machin
24,D.W. Griffith
25,H.E. Aitken
26,Hanns Heinz Ewers
27,Edward George Bulwer-Lytton
28,Mario Caserini
29,Salvatore Di Giacomo
30,Francesca Bertini
31,Edgar Allan Poe
32,William H. Clifford
33,Thomas H. Ince
34,Gabriele D'Annunzio
35,Titus Livius
36,Charles Perrault
37,Léonce Perret
38,Marguerite Bertsch
39,Archibald Clavering Gunter
40,Henrik Galeen
41,Paul Wegener
42,Benjamin Christensen
43,Laurids Skands
44,L. Frank Baum
45,Lois Weber
46,Edward S. Curtis
47,Thomas Bailey Aldrich
48,Charles W. Goddard
49,Basil Dickey
50,Edwin Milton Royle
51,Cecil B. DeMille
52,Grace Miller White
53,B.P. Schulberg
54,Jenö Janovics
55,Ede Tóth
56,Harriet Beecher Stowe
57,George L. Aiken
58,Owen Wister
59,Kirk La Shelle
60,Owen Davis
61,Maurice Tourneur
62,Paul Armstrong
63,O. Henry
64,Lewis Carroll
65,W.W. Young
66,Thomas Dixon Jr.
67,Prosper Mérimée
68,William C. de Mille
69,Hector Turnbull
70,Jeanie Macpherson
71,Porter Emerson Browne
72,Roy L. McCardell
73,C. Gardner Sullivan
74,Agnes Fletcher Bain
75,Giovanni Pastrone
76,Christy Cabanne
77,Theodosia Harris
78,Edgar Lewis
79,Edward Sheldon
80,Yevgeny Bauer
81,Ivan Turgenev
82,Alberto Fassini
83,Owen Frawley Kildare
84,Raoul Walsh
85,Jules Verne
86,Roy Somerville
87,Chester Withey
88,A.V. Samsjö
89,Sam Ask
90,Robert M. Baker
91,Bernard McConville
92,Douglas Fairbanks
93,Bret Harte
94,Anita Loos
95,John Emerson
96,Arthur Bernède
97,Octavus Roy Cohen
98,Alexander Pushkin
99,Fyodor Otsep
100,Erich Schönfelder
101,H.S. Sheldon
102,William Gillette
103,Stella Wynne Herron
104,Jane Addams
105,Winthrop Ames
106,Herman Bang
107,Axel Esbensen
108,Lucy Payton
109,Franklyn Hall
110,William Wallace Cook
111,Ruth Ann Baldwin
112,George Hively
113,Adrian Johnson
114,Émile Moreau
115,Robert Wiene
116,Frances Marion
117,Sophus Michaëlis
118,Frances Hodgson Burnett
119,Abel Gance
120,Allan Dwan
121,E.P. Lyle Jr.
122,Leo Tolstoy
123,Alexandre Volkoff
124,Eleanor Gates
125,E.W. Hornung
126,Anthony Paul Kelly
127,Charlotte Thompson
128,Olga Blazhevich
129,Charles Dickens
130,Frank Lloyd
131,Henrik Ibsen
132,Gustaf Molander
133,Mark Swan
134,Mark Twain
135,Julia Crawford Ivers
136,Ester Julin
137,Selma Lagerlöf
138,Horace B. Carpenter
139,Belle K. Maniates
140,Mór Jókai
141,Ladislaus Vajda
142,Emil Rameau
143,Victor Sjöström
144,Maurice Maeterlinck
145,Charles Maigne
146,Ida May Park
147,W. Carey Wonderly
148,Grete Diercks
149,Ernst Lubitsch
150,Mary Murillo
151,George Scarborough
152,John Ford
153,Harry Carey
154,Rupert Hughes
155,Hayden Talbot
156,Hampton Del Ruth
157,J.G. Hawks
158,David Graham Phillips
159,Cyril Harcourt
160,Edith M. Kennedy
161,Charles T. Dazey
162,Charles Chaplin
163,William J. Locke
164,Edgar Rice Burroughs
165,Fred Miller
166,Mary Raymond Shipman Andrews
167,Perley Poore Sheehan
168,Magnus Hirschfeld
169,Richard Oswald
170,Aurora Mardiganian
171,Henry Leyford Gates
172,Juan Manuel Cabrera
173,Miguel Necoechea
174,James Oliver Curwood
175,Gouverneur Morris
176,Luther Reed
177,Erich von Stroheim
178,Thomas Burke
179,R. Cecil Smith
180,Earle Snell
181,Jean Webster
182,Agnes Christine Johnston
183,Harvey F. Thew
184,John B. Clymer
185,Max Marcin
186,Albert Parker
187,Edgar Selwyn
188,William Hale
189,Stanner E.V. Taylor
190,Arthur B. Reeve
191,John Grey
192,David Belasco
193,Max Jungk
194,James B. Fagan
195,Walter Woods
196,John Fox Jr.
197,Julie Mathilde Lippmann
198,Carl Mayer
199,Hans Janowitz
200,J.M. Barrie
201,George M. Cohan
202,Robert Hobart Davis
203,Fritz Lang
204,Carl Theodor Dreyer
205,Karl Emil Franzos
206,E.T.A. Hoffmann
207,Byron Morgan
208,Marion Fairfax
209,C.J. Dennis
210,Raymond Longford
211,Tom Bret
212,Johannes Linnankoski
213,Marian Fremont
214,Anselma Heine
215,Robert Liebmann
216,Joseph Conrad
217,Jules Furthman
218,Thomas J. Geraghty
219,Evelyn Campbell
220,Harvey Gates
221,Mack Sennett
222,Hans Brennert
223,Friedel Köhne
224,Cynthia Stockley
225,Pierre Benoît
226,Jacques Feyder
227,Edgar Høyer
228,Marie Corelli
229,Robert Louis Stevenson
230,Clara Beranger
231,Ferenc Herczeg
232,Rasmus Breistein
233,Kristofer Janson
234,Harriet Bloch
235,Arthur 'Bugs' Baer
236,Earle Browne
237,Henri Colpi
238,Gustave Grillet
239,Marcel L'Herbier
240,Honoré de Balzac
241,Fannie Hurst
242,Ellis Parker Butler
243,William Parker
244,John McDermott
245,Paul Schofield
246,Ludwig Ganghofer
247,Franz Grillparzer
248,James Fenimore Cooper
249,Robert Dillon
250,Ralph Stock
251,Johnston McCulley
252,Knut Hamsun
253,Gunnar Sommerfeldt
254,Harold McGrath
255,David Hartford
256,Eleanor H. Porter
257,Catherine Chisholm Cushing
258,Robert W. Chambers
259,Edmund Day
260,Tom Forman
261,Bronson Howard
262,Victor Mapes
263,Waldemar Young
264,Richard Bryce
265,Friedrich Freksa
266,Lambert Hillyer
267,Herbert Juttke
268,Georg Kaiser
269,Thea von Harbou
270,Lottie Blair Parker
271,William A. Brady
272,Olga Printzlau
273,Oscar Micheaux
274,Ruth Wightman
275,Robert F. Hill
276,Arthur Schnitzler
277,Max Linder
278,Marion Orth
279,F. Britten Austin
280,George D. Baker
281,Alexandre Dumas fils
282,June Mathis
283,Elmer Harris
284,Frank R. Adams
285,Vicente Blasco Ibáñez
286,Erwin Gepard
287,Edward P. Vining
288,Juhani Aho
289,Mauritz Stiller
290,Sarah Y. Mason
291,Zona Gale
292,Max Abramson
293,Shirley Vance Martin
294,Kenneth Davenport
295,Adolphe d'Ennery
296,Eugène Cormon
297,Gardner Bradford
298,Tod Browning
299,Maxim Gorky
300,Wilhelm August Schmidtbonn
301,Hal Roach
302,Sam Taylor
303,Dimitri Buchowetzki
304,Alexandre Dumas
305,Lupu Pick
306,Rudolf Stratz
307,Edith Maude Hull
308,Monte M. Katterjohn
309,Ralph Connor
310,Faith Green
311,André Antoine
312,Émile Zola
313,Edward Knoblock
314,Gerald C. Duffy
315,Joseph Hergesheimer
316,Edmund Goulding
317,Rolf E. Vanloo
318,Sophie Kerr
319,Elinor Glyn
320,Jack Cunningham
321,Tom Cushing
322,Willy Haas
323,Arthur Rosen
324,Mildred Considine
325,Brian Oswald Donn-Byrne
326,Anatole France
327,Holger Drachmann
328,John L.E. Pell
329,Louis Delluc
330,Louis D. Lighton
331,Marian Ainslee
332,Aage Madelung
333,Washington Irving
334,Carl Stearns Clancy
335,R.D. Blackmore
336,Katherine S. Reed
337,Harry Houdini
338,Coolidge Streeter
339,Alice Duer Miller
340,Finis Fox
341,Frank Norris
342,Gotthold Ephraim Lessing
343,Hans Kyser
344,Bram Stoker
345,Karl Mueller-Hagens
346,Anthony Hope
347,Mary O'Hara
348,Oscar Wilde
349,Alla Nazimova
350,Arthur Robison
351,Rudolf Schneider
352,Wilbur Daniel Steele
353,Eve Unsell
354,Arthur Conan Doyle
355,Lynn Reynolds
356,Michael Curtiz
357,E. Lloyd Sheldon
358,Lon Chaney
359,Lucien Hubbard
360,Winifred Graham
361,Frank Miller
362,William LeBaron
363,Charles Major
364,Alethea Luce
365,John Ames Mitchell
366,Heinrich Laube
367,Paul Reno
